search query,article date,article title,article summary
hurricane irma,2017-09-11T19:31:05+0000,Irma Swiftly Lays Claim to Florida’s Sea of Trees,"Perhaps more than any building or home, it was the palms, and a host of other canopy trees, that took the full force of the storm."
hurricane irma,2017-09-27T21:15:22+0000,"In the Virgin Islands, Hurricane Maria Drowned What Irma Didn’t Destroy","As islanders wait for doctors, medicine, fuel and manpower to rebuild, the economic toll from the storms is only starting to come to light."
hurricane irma,2017-09-09T17:57:09+0000,"Irma’s Fearsome Winds Reach Florida Shores, With Full Strike Yet to Come","Florida opened dozens more shelters as the first wind and rainbands reached the state Saturday; more than 100,000 people were already without power."
hurricane irma,2017-09-10T14:20:08+0000,Irma Shifting Forecasts: It’s All a Matter of Probability,"Floridians may feel whipsawed by the changing predictions on Irma’s course. But the forecast models “did very well with this,” one expert said, but there is room for improvement."
hurricane irma,2017-09-22T16:57:12+0000,"After Maria and Irma: Caribbean Tourism, Island by Island","In the wake of two powerful hurricanes, a look at the damage, bright spots and the uncertain future."
hurricane irma,2017-09-07T20:58:20+0000,"Hurricane Jose Is Next on Radar, With Fresh Alert for Antigua and Barbuda","A day after Irma devastated Barbuda, a second storm threatens the tiny two-island nation. Meanwhile, Hurricane Katia churns toward Mexico."
hurricane irma,2017-09-11T09:59:14+0000,Listen to ‘The Daily’: In Florida and Bracing for Irma,"We speak with two Miami residents, one who refused to evacuate and one who drove north, only to end up in Irma’s path."
hurricane irma,2017-09-09T01:56:27+0000,"Anguilla, Reeling From Irma While Readying for Jose",Business owners and other officials in Anguilla braced for the second hurricane this week amid the destruction of Irma.
hurricane irma,2017-09-11T09:00:24+0000,Irma May Force Florida Insurers to Turn to Deeper Pockets,"Big insurers pulled back after Hurricane Andrew, leaving coverage largely to smaller companies leaning on a state fund and on reinsurance policies."
hurricane irma,2017-09-06T20:21:22+0000,Florida Sheriff Plans to Check for Warrants at Hurricane Shelters,"People seeking safety from Irma could be arrested if they have outstanding warrants, Sheriff Grady Judd of Polk County said on Twitter."
hurricane irma,2017-09-11T21:39:24+0000,The Monster Surge That Wasn’t: Why Irma Caused Less Flooding Than Expected,The storm’s track over land and other elements of meteorological luck meant that far less of Florida was underwater than had been projected.
hurricane irma,2017-09-08T18:08:23+0000,"To Defend Against Irma, Locals Raid Miami Beach for Sand","With Hurricane Irma approaching, Miami Beach residents are filling up sandbags. But in so doing they could be weakening one of the city’s best lines of defense — its beaches."
hurricane irma,2017-09-12T07:26:07+0000,Irma Updates: A Bruised Southeast Shows Signs of Resilience,"Irma’s effects were still stinging Florida on Tuesday, from the Keys in the south, to Jacksonville in the north, where hundreds were rescued from floodwaters."
hurricane irma,2017-09-16T09:00:40+0000,"In Irma’s Wake, Surveying the Damage Along the Coast","A photo essay of the Southeast, where residents emerged to find debris, eroded beaches and a reason to feel lucky."
hurricane irma,2017-09-11T00:24:11+0000,"Florida Is No Stranger to Hurricanes, but This Is Different","As Hurricane Irma made landfall twice on Sunday and drove up the Gulf Coast, Floridians were left with hardly anywhere to hide."
hurricane irma,2017-09-08T09:58:35+0000,"‘Leave Now,’ Florida Governor Warns as Storm Nears","One of the most potent Atlantic Ocean hurricanes ever recorded battered Turks and Caicos and the Bahamas on Friday, then made landfall in northern Cuba."
hurricane irma,2017-09-08T00:04:47+0000,Caribbean Devastated as Irma Heads Toward Florida,"The storm turned beach paradises into half-habitable emergency zones as it headed toward Florida, where panicked residents were scrambling to find gasoline and water."
hurricane irma,2017-09-12T09:00:22+0000,"After a Dozen Hurricanes and 40 Years, Familiar Dangers With Higher Stakes","Some things have changed about hurricanes — technology, forecasting, preparedness. Some have not — danger, power, human indecision in dealing with the storm."
hurricane irma,2017-09-08T18:12:55+0000,"North Carolina, Still Reeling From Hurricane Matthew, Stares at Irma","Hurricane Matthew devastated rural parts of the state last October. Many people are still displaced, and now they have a new storm to worry about."
hurricane irma,2017-09-08T22:20:10+0000,Caribbean Islands Battered by One Hurricane Are Bracing for the Next,"Days after Hurricane Irma struck the Caribbean, the islands that bore the brunt of the storm are bracing for Hurricane Jose."
hurricane irma,2017-09-12T00:35:41+0000,How Business Was Battered by Irma,"Hurricane Irma has weakened to a tropical storm, but left damage to nearly all parts of a tightly connected Florida economy that relies heavily on tourism."
hurricane irma,2017-09-08T22:40:44+0000,Irma Is So Big That There Is No Good News for Florida,"A growing model consensus that Irma is likeliest to make landfall on the western side of the the peninsula, but all of South Florida is in peril."
hurricane irma,2017-09-08T14:02:36+0000,Florida Is Due for a Reckoning. Will Irma Be It?,"Despite its vulnerability to hurricanes, the state continues to encourage growth and building in dangerous places."
hurricane irma,2017-09-13T09:00:04+0000,After Irma: Floods and Blackouts in Florida,Hurricane Irma left portions of Florida with flooded streets and blacked-out cities. An estimated 15 million Floridians are without power.
hurricane irma,2017-09-10T23:38:02+0000,Construction Cranes in Miami Become Multi-Ton Threats During Irma,The arms of at least two cranes collapsed on Sunday after city officials said it was impossible to move them in time for the hurricane.
hurricane irma,2017-09-16T15:41:49+0000,"British Virgin Islands: ‘Knocked Down, but Not Knocked Out’ by Irma","The Times visited tiny Jost Van Dyke, whose 298 residents set up a de facto command center at a bar that has some of the ravaged island’s only working generators."
hurricane irma,2017-09-16T12:37:53+0000,"The Nun With a Chain Saw, and Other People We Met During Irma",Photogenic police officers and a man who playfully suggested firing guns at the storm were among the people Hurricane Irma introduced to the world.
hurricane irma,2017-09-07T22:26:16+0000,Where to Evacuate: Irma Inspires a Travel Search,Airfares temporarily shot up and cruises were canceled as evacuees took to the road.
hurricane irma,2017-09-10T18:02:08+0000,Snapchat Videos of Florida Keys Show Irma's Fury,"With few reporters stationed in the Florida Keys on Sunday morning, Snapchat videos posted by residents who chose to brave Irma showed the fury of the Category 4 hurricane."
hurricane irma,2017-09-08T20:22:41+0000,"Brock Long, the FEMA Chief, Faces Test in Back-to-Back Hurricanes","The emergency management agency is stretched by disaster response from Hurricanes Harvey and Irma, as well as fires and severe storms elsewhere in the country."
hurricane irma,2017-09-14T23:15:54+0000,Frazzled Floridians in Search of a Balm,"Almost from the first Hurricane Irma forecast, Floridians have been in an emotional cone of uncertainty, even those hardened by hurricanes past."
hurricane irma,2017-09-12T18:55:52+0000,Irma-Proof Armor and Nights at the Museum: Shielding Florida’s Arts,"Many Florida cultural organizations are relieved that, thanks to careful preparation and good luck, Hurricane Irma was not as bad as they had feared."
hurricane irma,2017-09-12T00:31:35+0000,Florida Keys Battered but Still Standing After Irma’s Rampage,"The Florida Keys, which took some of Hurricane Irma’s hardest blows Sunday and Monday, were a random mix of buildings unscathed and others battered or ruined."
hurricane irma,2017-09-14T00:00:45+0000,"After Irma, a Grim Sense of Déjà Vu in St. Augustine","At 452 years old, St. Augustine is no stranger to flooding. But damage from hurricanes in two consecutive years has left residents soaked, frustrated and worried about the future."
hurricane irma,2017-09-08T23:47:24+0000,Two Hurricanes in Two Weeks Bring Two Very Different Reactions,"While officials in Houston did not order an evacuation before Hurricane Harvey, their counterparts in Florida were urging residents to leave as Hurricane Irma approached."
hurricane irma,2017-09-18T11:41:09+0000,"What Hurricanes Can Dredge Up: Coffins, Canoes and Creatures",The floods that came with Harvey and Irma brought some interesting and mysterious things to the surface.
hurricane irma,2017-09-10T02:24:15+0000,"As Irma Swings West, Officials Scramble to Open Shelters","As thousands of people on the west coast of Florida have been forced to evacuate at the last minute, makeshift shelters have opened — and rapidly filled."
hurricane irma,2017-09-11T01:10:56+0000,Desperation Mounts in Caribbean Islands: ‘All the Food Is Gone’,"Food and water were in short supply on many islands in the Caribbean after Hurricane Irma, and witnesses spoke of a disintegration of law and order."
hurricane irma,2017-09-25T16:42:58+0000,Jennifer Lopez Donates $1 Million to Puerto Rico Relief Effort,"The singer, who is of Puerto Rican descent, is leading a New York-state-wide donation drive in the wake of Hurricanes Irma and Maria."
hurricane irma,2017-09-09T13:38:25+0000,Trump Monitors Hurricane as His Cabinet Descends on Camp David,Aides said President Trump would receive hurricane briefings throughout the day as the powerful storm marches toward the southern tip of Florida.
hurricane irma,2017-09-08T03:36:08+0000,Ex-U.S. Presidents Start Fund to Help Hurricane Harvey Victims,"The campaign, One America Appeal, is expected to expand to help people affected by Hurricane Irma, which is expected to hit Florida this weekend."
hurricane irma,2017-09-14T18:45:15+0000,"After Irma, Most Orlando Attractions Have Reopened","Almost every Disney and Universal park is back in operation, as is Legoland Florida. Disney’s Typhoon Lagoon is expected to be open this weekend."
hurricane irma,2017-09-27T19:39:01+0000,"Harvey, Irma, Maria: Trump Administration’s Response Compared","President Trump has been accused of giving the crisis in Puerto Rico short shrift, compared with his response to major storms in Texas and Florida. But the picture is more complex."
hurricane irma,2017-09-12T22:59:27+0000,Americans in a Battered Paradise,"In the U.S. Virgin Islands, we are citizens, too — not vacationers trapped on a beach."
hurricane irma,2017-09-09T21:54:56+0000,Weather Channel Goes Into Overdrive Covering Back-to-Back Hurricanes,"In the network’s Atlanta newsroom, there is free pizza, lots of energy and scant mention of climate change."
hurricane irma,2017-09-12T23:06:27+0000,The Battered Southeast Grapples With Irma’s Aftermath,"With streets still flooded, power still out, thousands of houses wrecked and 94,000 people still in shelters in Florida, “we’ve got a lot of work to do,” said Gov. Rick Scott."
hurricane irma,2017-09-14T07:21:22+0000,Don’t Repeat the Mistakes of the Katrina Recovery,"When I ask people about the disaster, they barely mention the hurricane. Instead, they talk about the decisions made afterward."
hurricane irma,2017-09-17T21:03:32+0000,Irma is Most Recent Stop for ‘Adrenaline Junkies’ of Disaster Rescue Team,The United States has 28 search-and-rescue teams it can send into disaster zones. The New York Times embedded with one for its work after Hurricane Irma.
hurricane irma,2017-09-09T23:06:52+0000,"Irma Will Test Florida’s Infrastructure, From Dikes to Sewage Plants","The state has deferred costly maintenance, raising fears that the storm could overrun its waterworks, flood systems and other facilities."
hurricane irma,2017-09-10T09:12:18+0000,Storm’s Winds Begin Battering Tampa Bay Area,"Downgraded to a Category 1 hurricane but still carrying fierce winds, the storm crawled up the state’s west coast after thrashing the Florida Keys."
hurricane irma,2017-09-11T20:57:21+0000,Images of Heroism Emerge From Hurricane’s Turmoil,Pictures of daring rescues amid the destruction of Hurricane Irma helped buoy spirits.
hurricane irma,2017-09-06T23:16:30+0000,"After Andrew, Florida Changed Its Approach to Hurricanes","In South Florida, Hurricane Andrew remains a benchmark that few have forgotten. The storm changed how Florida prepared for high winds and lashing rains."
hurricane irma,2017-09-08T23:13:11+0000,Conservationists See a Hurricane Risk: Florida’s Exotic Pets Could Escape,"With Hurricane Irma fast approaching Florida, wildlife organizations are concerned that captive, nonnative wildlife could break loose."
hurricane irma,2017-09-10T04:52:10+0000,Irma Grazes Puerto Rico but Lays Bare an Infrastructure Problem,"While the island was spared the worst of the storm, widespread power failures raised questions about its future viability."
hurricane irma,2017-09-19T18:15:26+0000,Islands Seek International Funding for Hurricane Recovery,"In a special United Nations session, leaders of islands battered by hurricanes made worse by climate change appealed to wealthy countries for aid."
hurricane irma,2017-09-13T00:11:24+0000,"For Florida Keys Residents, Home Was the Ultimate Getaway. Then Irma Hit.","People who settle in the Keys often are escaping mainland life or resetting their own, and now some wonder if they should try a fresh start somewhere else."
hurricane irma,2017-09-09T16:04:27+0000,"Death Toll Climbs, and Relief Efforts Stall, as Caribbean Braces for Hurricane Jose",Aid workers responding to devastation from Hurricane Irma have been stalled by the next dangerous storm: Hurricane Jose.
hurricane irma,2017-09-06T09:30:51+0000,The Storm Reaches Puerto Rico: ‘There Is Nothing Like This’,"We followed the news from the Caribbean on Wednesday as the hurricane battered islands like Barbuda, Antigua and French territories."
hurricane irma,2017-09-08T00:03:08+0000,"In Florida, Searching for Gas and Water, and Watching Irma","Residents across South Florida scrambled to prepare for the hurricane. Gas, water, plywood and sandbags were in short supply."
hurricane irma,2017-09-12T00:15:22+0000,"Tesla Boosts Car Battery Power During Irma, Raising Questions of Control","The company remotely enabled free software upgrades for Florida drivers during the hurricane, sparking questions about Tesla’s oversight."
hurricane irma,2017-09-09T17:17:01+0000,Airlines Face Criticism Amid Irma Price-Gouging Complaints,A tweet that went viral earlier this week sparked outrage over suspected price-gouging by airlines of Hurricane Irma evacuees.
hurricane irma,2017-09-06T19:00:18+0000,Advice if You’re Traveling and There’s a Hurricane,"If you have a trip planned where a storm is expected, call your hotel and airline. If you have already arrived, have your bags packed — and phone charged."
hurricane irma,2017-09-06T20:46:38+0000,Hurricane Andrew: How The Times Reported the Destruction of 1992,"With Florida’s governor warning that Hurricane Irma will be stronger than Andrew, here’s a refresher on that powerful storm."
hurricane irma,2017-09-07T09:21:44+0000,"Storm Churning Through Caribbean, Hits Turks and Caicos","The death toll is at least seven, and nearly a million households in Puerto Rico were without power."
hurricane irma,2017-09-09T09:00:54+0000,Storm Gains Strength as It Nears Florida,"Officials upgraded Irma to a Category 4 hurricane early Sunday, reporting maximum sustained winds of 130 miles per hour."
hurricane irma,2017-09-12T23:34:50+0000,"Amid Chaos of Storms, U.S. Shows It Has Improved Its Response","Technology, building codes, weather forecasts and a more sophisticated understanding of mass evacuation helped keep the death toll low, experts say."
hurricane irma,2017-09-12T00:15:00+0000,"Damp, Dark and Disarrayed, Florida Starts Coping With Irma’s Aftermath","Widespread power losses and localized flooding caused by the hurricane threatened to bedevil the state for days, if not weeks, to come."
hurricane irma,2017-09-11T22:45:01+0000,Travel Companies Have a New Clientele: Hurricane Evacuees,"Cruise lines, Airbnb and Expedia are among those working to get people out of harm’s way and get them shelter."
hurricane irma,2017-09-17T23:40:12+0000,"Now It’s Hurricane Maria, and Caribbean Braces for New Hit","Less than two weeks after Hurricane Irma devastated the islands, residents learned Tropical Storm Maria had intensified and was heading their way."
hurricane irma,2017-09-17T19:57:20+0000,Sign Language Interpreter Warned of ‘Pizza’ and ‘Bear Monster’ at Irma Briefing,"Officials in Manatee County, Fla., drew criticism for asking a local lifeguard unskilled at sign language to interpret crucial evacuation orders."
hurricane irma,2017-09-14T15:58:12+0000,Trump Hands Out Hoagies and Reassurances in Storm-Battered Florida,The president praised the government’s response to the Hurricane Irma.
hurricane irma,2017-09-08T18:47:51+0000,Miami Always Thinks the Storm Will Turn,"It’s not going to be that bad, we say, until it’s too late."
hurricane irma,2017-09-15T20:59:47+0000,Paradise Lost: Devastation on the U.S. Virgin Islands,Residents of St. Thomas and St. John showed signs of resilience amid the ruins left by Hurricane Irma.
hurricane irma,2017-09-24T21:44:33+0000,New York Expands Relief Efforts for Puerto Rico After Hurricane Maria,Gov. Andrew M. Cuomo announced a statewide partnership to provide aid to the island territory days after viewing the damage wrought by Hurricane Maria.
hurricane irma,2017-09-14T23:16:56+0000,"Considered Vulnerable, Mobile Homes Are Battered but Largely Intact","Hurricane Andrew ravaged thousands of mobile homes in 1992. But changes were made, and Florida’s 850,000 mobile homes seemed to fare better during Irma."
hurricane irma,2017-09-15T07:00:37+0000,"More Than a Week After Irma, St. Martin Is Still Trying to Survive","A Times reporter on one of the Caribbean islands hit hardest by the hurricane describes life without fuel, electricity, schools and a dependable food supply."
hurricane irma,2017-09-26T17:58:18+0000,5 Islands in and Around the Caribbean That You Can Still Visit ,Nearly 70 percent of the Caribbean was not damaged by the hurricanes. Here are the islands where you can have an unspoiled beach getaway and help tourism.
hurricane irma,2017-09-11T23:56:06+0000,Hungry Residents in ‘Survival Mode’ on U.S. Virgin Islands,"A large relief effort has begun in the Virgin Islands, where long lines for food and lack of communication contributed to a sense that residents were being ignored."
hurricane irma,2017-09-18T23:32:23+0000,Hurricane Maria Makes Landfall in Dominica as Other Islands Brace for Potential Disaster,"The Caribbean islands scrambled to prepare for another big storm, Hurricane Maria, which was barreling through only days after Irma killed more than two dozen."
hurricane irma,2017-09-12T07:21:24+0000,"Our Vital, Vulnerable Coasts","We live by the ocean to work, to play, to heal. But in an unguarded moment, it can swallow us whole."
hurricane irma,2017-09-18T09:00:23+0000,How the Internet Kept Humming During 2 Hurricanes,"While millions lost electricity across Florida, and thousands of homes and businesses were flooded in Miami and Texas, the data centers powering the internet held firm."
hurricane irma,2017-09-11T08:01:41+0000,"Storm Pushes North, but Millions Are Without Power in Florida","After days of frantic preparation, Floridians awoke Monday to destruction that fell short of the direst forecasts, but still faced life-altering damage."
hurricane irma,2017-09-08T22:37:21+0000,Apocalyptic Thoughts Amid Nature’s Chaos? You Could Be Forgiven,"Americans were excited about the eclipse, but hurricanes, wildfires, and an earthquake have some — and not just deeply religious people — thinking dark thoughts."
hurricane irma,2017-09-07T18:41:16+0000,Senate Votes to Raise Debt Limit and Approves $15 Billion in Hurricane Relief,The Republican-led chamber reluctantly approved the new debt ceiling after the surprising deal reached by President Trump and the Democratic leadership on Wednesday.
hurricane irma,2017-09-08T00:40:14+0000,‘We Have Nothing Left’: Islanders Survey Irma’s Destruction,"Two residents from St. Martin island's two nations, the French St. Martin and the Dutch St. Maarten, describe Irma’s destruction."
hurricane irma,2017-09-07T00:12:01+0000,Puerto Rico’s Finances Add to Vulnerability in Hurricane,"With the island having effectively declared bankruptcy, its infrastructure reflects years of neglect, and the storm could be a new economic blow."
hurricane irma,2017-09-15T23:14:21+0000,"Hurricane Jose Spins North, With East Coast Watching Warily","There is a good chance that the storm, which appears to have strengthened, will not make landfall. Still, forecasters are urging vigilance."
hurricane irma,2017-09-19T15:07:23+0000,"Harvey and Irma Wiped Out Our Kitchens. Still, We Cook.","America has never lost so many stoves and pantries at once, but home cooks are intent on finding a way — any way — to make meals."
hurricane irma,2017-09-11T00:19:08+0000,"Spared Irma’s Worst, Puerto Ricans Sail to Virgin Islanders’ Aid","Using pleasure boats, civilians have improvised a boatlift to carry donated supplies to the devastated islands and bring back evacuees."
hurricane irma,2017-09-12T13:03:58+0000,‘We Lost Everything’: Witnessing Irma’s Destruction in the Keys,"Some residents of the Keys ignored evacuation warnings and stayed behind, witnessing the hurricane firsthand."
hurricane irma,2017-09-07T20:06:20+0000,The Struggle After the Storm,"The survivors of Hurricanes Harvey and Irma have a long, painful recovery ahead of them. I’ve been there."
hurricane irma,2017-09-29T09:00:19+0000,Preparing Your Home for a Disaster,The past few weeks of rolling natural disasters are a reminder to homeowners across the country to do what they can to prepare for the unknown.
hurricane irma,2017-09-11T11:27:48+0000,"Teaching Activities for: ‘Irma Roars In, and All of Florida Shakes and Shudders’",How does this article show the hurricane’s force? How does it help readers understand what it was like for some Floridians to live through it?
hurricane irma,2017-09-11T23:54:11+0000,"The Rays, Safe and Sound, Play a Home Game on the Road","Forced by Hurricane Irma to play against the Yankees at the Mets’ park, Tampa Bay’s players tried to cope with their unfamiliar surroundings."
