,Contracting Agency Name,Date Signed,Est. Ultimate Completion Date,Product or Service Description,Vendor Address State Name,National Interest Action,Action Obligation
30,ENVIRONMENTAL PROTECTION AGENCY,2018-05-01,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,200000.0
31,ENVIRONMENTAL PROTECTION AGENCY,2018-05-21,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,125000.0
32,ENVIRONMENTAL PROTECTION AGENCY,2018-06-21,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,720000.0
33,ENVIRONMENTAL PROTECTION AGENCY,2018-07-02,2019-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,335000.0
34,DEPT OF THE ARMY,2017-09-29,2018-01-07,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,271983.5
35,DEPT OF THE ARMY,2017-09-29,2018-01-27,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,458384.75
36,DEPT OF THE ARMY,2018-01-24,2018-01-27,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,53365.2
37,DEPT OF THE ARMY,2017-09-30,2017-12-31,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,8080.0
38,DEPT OF THE ARMY,2017-09-30,2017-11-30,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,581583.0
39,DEPT OF THE ARMY,2017-09-30,2017-11-11,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,1050.0
40,DEPT OF THE ARMY,2017-12-20,2017-11-11,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,350.0
41,ENVIRONMENTAL PROTECTION AGENCY,2018-02-15,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,3000000.0
43,ENVIRONMENTAL PROTECTION AGENCY,2018-03-29,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,700000.0
44,DEPT OF THE ARMY,2017-09-29,2017-11-28,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,219946.45
45,DEPT OF THE ARMY,2017-09-29,2017-12-28,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,181937.56
46,DEPT OF THE ARMY,2017-09-29,2017-12-28,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,-181937.56
47,ENVIRONMENTAL PROTECTION AGENCY,2018-07-19,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,-7215.78
48,ENVIRONMENTAL PROTECTION AGENCY,2017-09-29,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,2000000.0
49,ENVIRONMENTAL PROTECTION AGENCY,2018-02-13,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,2000000.0
50,ENVIRONMENTAL PROTECTION AGENCY,2018-03-15,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,750000.0
52,ENVIRONMENTAL PROTECTION AGENCY,2017-11-08,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,2000000.0
54,ENVIRONMENTAL PROTECTION AGENCY,2017-12-18,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,1000000.0
55,ENVIRONMENTAL PROTECTION AGENCY,2018-01-25,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,750000.0
56,ENVIRONMENTAL PROTECTION AGENCY,2018-04-05,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,225000.0
57,ENVIRONMENTAL PROTECTION AGENCY,2018-05-09,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,750000.0
58,ENVIRONMENTAL PROTECTION AGENCY,2017-11-14,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,10000.0
59,ENVIRONMENTAL PROTECTION AGENCY,2018-07-19,2019-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,-1533.23
60,ENVIRONMENTAL PROTECTION AGENCY,2018-01-30,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,2300.0
61,ENVIRONMENTAL PROTECTION AGENCY,2018-09-10,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,-9247.82
62,ENVIRONMENTAL PROTECTION AGENCY,2018-01-30,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,1000000.0
63,ENVIRONMENTAL PROTECTION AGENCY,2018-02-28,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,2000000.0
64,ENVIRONMENTAL PROTECTION AGENCY,2017-12-20,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,3500000.0
65,ENVIRONMENTAL PROTECTION AGENCY,2017-11-08,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,2000000.0
66,ENVIRONMENTAL PROTECTION AGENCY,2017-11-02,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,50000.0
67,ENVIRONMENTAL PROTECTION AGENCY,2018-02-12,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,250000.0
68,ENVIRONMENTAL PROTECTION AGENCY,2018-02-15,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,3000000.0
69,ENVIRONMENTAL PROTECTION AGENCY,2018-04-03,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,500000.0
70,ENVIRONMENTAL PROTECTION AGENCY,2017-11-06,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,500000.0
71,ENVIRONMENTAL PROTECTION AGENCY,2017-12-05,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,1000000.0
72,ENVIRONMENTAL PROTECTION AGENCY,2018-01-29,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,750000.0
74,ENVIRONMENTAL PROTECTION AGENCY,2017-11-08,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,1000000.0
77,ENVIRONMENTAL PROTECTION AGENCY,2017-11-16,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,10000.0
78,ENVIRONMENTAL PROTECTION AGENCY,2017-12-11,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,35000.0
79,ENVIRONMENTAL PROTECTION AGENCY,2018-01-30,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,1000000.0
80,ENVIRONMENTAL PROTECTION AGENCY,2018-04-30,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,-350000.0
82,ENVIRONMENTAL PROTECTION AGENCY,2018-09-10,2019-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,-492348.72
83,ENVIRONMENTAL PROTECTION AGENCY,2018-01-30,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,750000.0
84,ENVIRONMENTAL PROTECTION AGENCY,2018-05-08,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,500000.0
85,ENVIRONMENTAL PROTECTION AGENCY,2018-05-09,2018-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,500000.0
87,ENVIRONMENTAL PROTECTION AGENCY,2018-09-05,2019-05-12,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,MISSOURI,HURRICANE MARIA 2017,500000.0
89,FOREST SERVICE,2017-10-06,2017-11-30,R&D- MEDICAL: MENTAL HEALTH (MANAGEMENT/SUPPORT),NORTH CAROLINA,HURRICANE MARIA 2017,21846.12
90,AGRICULTURAL RESEARCH SERVICE,2017-10-20,2017-12-01,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,63698.92
91,AGRICULTURAL RESEARCH SERVICE,2017-11-22,2018-01-22,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,11707.12
92,AGRICULTURAL RESEARCH SERVICE,2017-11-21,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,308549.68
93,AGRICULTURAL RESEARCH SERVICE,2018-02-22,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,41024.46
94,AGRICULTURAL RESEARCH SERVICE,2018-08-24,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,4234.1
95,AGRICULTURAL RESEARCH SERVICE,2017-12-06,2018-01-28,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,33282.48
96,AGRICULTURAL RESEARCH SERVICE,2017-12-06,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,33282.48
97,AGRICULTURAL RESEARCH SERVICE,2017-12-06,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,9660.46
98,AGRICULTURAL RESEARCH SERVICE,2018-09-11,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,19749.6
99,AGRICULTURAL RESEARCH SERVICE,2018-03-15,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,34091.88
100,AGRICULTURAL RESEARCH SERVICE,2018-03-15,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,16317.8
101,AGRICULTURAL RESEARCH SERVICE,2018-03-29,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,51636.88
102,AGRICULTURAL RESEARCH SERVICE,2018-04-05,2021-10-31,MAINTENANCE OF LABORATORIES AND CLINICS,NORTH CAROLINA,HURRICANE MARIA 2017,46013.96
103,AGRICULTURAL RESEARCH SERVICE,2018-02-21,2018-02-21,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER,PUERTO RICO,HURRICANE MARIA 2017,9020.0
104,FOREST SERVICE,2018-08-13,2018-10-30,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",PUERTO RICO,HURRICANE MARIA 2017,39727.99
105,FOREST SERVICE,2018-08-28,2018-10-28,CONSTRUCTION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,1502000.0
107,FOREST SERVICE,2017-12-01,2018-03-30,SPECIAL STUDIES/ANALYSIS- OTHER,TEXAS,HURRICANE MARIA 2017,44300.0
108,FOREST SERVICE,2018-09-04,2018-11-15,SUPPORT- PROFESSIONAL: OTHER,CALIFORNIA,HURRICANE MARIA 2017,4701.84
109,FOREST SERVICE,2018-07-11,2019-05-30,SUPPORT- PROFESSIONAL: OTHER,CALIFORNIA,HURRICANE MARIA 2017,64914.72
110,FOREST SERVICE,2018-08-01,2018-09-15,SPECIAL STUDIES/ANALYSIS- OTHER,TEXAS,HURRICANE MARIA 2017,17200.0
111,FOREST SERVICE,2018-08-24,2018-10-30,OFFICE FURNITURE,PENNSYLVANIA,HURRICANE MARIA 2017,122118.48
112,FOREST SERVICE,2018-08-29,2018-11-30,SUPPORT- PROFESSIONAL: OTHER,CALIFORNIA,HURRICANE MARIA 2017,17721.6
113,FOREST SERVICE,2018-09-19,2019-09-30,SPECIAL STUDIES/ANALYSIS- OTHER,ALABAMA,HURRICANE MARIA 2017,53700.0
114,FOREST SERVICE,2017-11-03,2018-01-31,LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,3600.0
115,FOREST SERVICE,2017-09-28,2017-11-30,LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,7614.0
116,FOREST SERVICE,2017-11-03,2017-12-15,LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,8307.15
117,FOREST SERVICE,2018-07-11,2019-07-30,LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,23500.0
118,FOREST SERVICE,2018-07-30,2019-07-30,LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,2632.5
119,FOREST SERVICE,2018-07-16,2020-07-30,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",VIRGINIA,HURRICANE MARIA 2017,74822.4
120,FOREST SERVICE,2018-04-17,2018-10-31,IT AND TELECOM- OPTICAL SCANNING,PUERTO RICO,HURRICANE MARIA 2017,179354.46
123,FOREST SERVICE,2018-04-05,2018-05-15,"ARCHITECT AND ENGINEERING- CONSTRUCTION: HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",PUERTO RICO,HURRICANE MARIA 2017,9975.0
126,FOREST SERVICE,2018-05-25,2018-09-30,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,82448.4
127,FOREST SERVICE,2018-09-12,2018-09-30,HOUSEKEEPING- GUARD,PUERTO RICO,HURRICANE MARIA 2017,61833.36
129,FOREST SERVICE,2018-07-05,2018-07-13,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE",FLORIDA,HURRICANE MARIA 2017,18000.0
130,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,2800.0
131,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,2287.5
132,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,1680.0
133,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,5460.0
134,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,6300.0
135,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,17846.0
136,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,12735.0
137,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,86685.0
138,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,14950.0
139,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,4600.0
140,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,30436.15
141,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,2850.0
142,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,83969.0
143,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,8037.0
144,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,9431.0
145,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,3355.0
146,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,13661.0
147,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,99438.0
148,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,2800.0
149,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,28553.4
150,FOREST SERVICE,2018-05-01,2018-05-31,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,2850.0
151,FOREST SERVICE,2018-06-01,2018-06-30,NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,PUERTO RICO,HURRICANE MARIA 2017,28553.4
